word,meaning,level,example_sentence,example_translation
engineer,"기술자, 엔지니어",basic,We discussed the engineer during the morning meeting.,"우리는 오전 회의에서 '기술자, 엔지니어' 관련 내용을 논의했습니다."
technician,기술자,basic,The staff prepared the technician for today's schedule.,직원들은 오늘 일정에 맞춰 '기술자' 관련 내용을 준비했습니다.
accountant,회계사,basic,The manager reviewed the accountant before the meeting.,관리자는 회의 전에 '회계사' 관련 내용을 검토했습니다.
lawyer,변호사,basic,Please check the lawyer before you leave the office.,사무실을 떠나기 전에 '변호사' 관련 내용을 확인해 주세요.
doctor,의사,basic,The doctor was mentioned in the company announcement.,회사 공지에서 '의사' 관련 내용이 언급되었습니다.
nurse,간호사,basic,We discussed the nurse during the morning meeting.,우리는 오전 회의에서 '간호사' 관련 내용을 논의했습니다.
patient,환자,basic,The staff prepared the patient for today's schedule.,직원들은 오늘 일정에 맞춰 '환자' 관련 내용을 준비했습니다.
driver,운전사,basic,The manager reviewed the driver before the meeting.,관리자는 회의 전에 '운전사' 관련 내용을 검토했습니다.
passenger,승객,basic,Please check the passenger before you leave the office.,사무실을 떠나기 전에 '승객' 관련 내용을 확인해 주세요.
supplier,공급업체,basic,The supplier was mentioned in the company announcement.,회사 공지에서 '공급업체' 관련 내용이 언급되었습니다.
vendor,"판매업체, 공급업체",basic,We discussed the vendor during the morning meeting.,"우리는 오전 회의에서 '판매업체, 공급업체' 관련 내용을 논의했습니다."
manufacturer,제조업체,basic,The staff prepared the manufacturer for today's schedule.,직원들은 오늘 일정에 맞춰 '제조업체' 관련 내용을 준비했습니다.
partner,"협력자, 파트너",basic,The manager reviewed the partner before the meeting.,"관리자는 회의 전에 '협력자, 파트너' 관련 내용을 검토했습니다."
visitor center,방문자 센터,basic,Please check the visitor center before you leave the office.,사무실을 떠나기 전에 '방문자 센터' 관련 내용을 확인해 주세요.
entrance,입구,basic,The entrance was mentioned in the company announcement.,회사 공지에서 '입구' 관련 내용이 언급되었습니다.
exit,출구,basic,We discussed the exit during the morning meeting.,우리는 오전 회의에서 '출구' 관련 내용을 논의했습니다.
elevator,엘리베이터,basic,The staff prepared the elevator for today's schedule.,직원들은 오늘 일정에 맞춰 '엘리베이터' 관련 내용을 준비했습니다.
stairs,계단,basic,The manager reviewed the stairs before the meeting.,관리자는 회의 전에 '계단' 관련 내용을 검토했습니다.
lobby,로비,basic,Please check the lobby before you leave the office.,사무실을 떠나기 전에 '로비' 관련 내용을 확인해 주세요.
hall,"홀, 복도",basic,The hall was mentioned in the company announcement.,"회사 공지에서 '홀, 복도' 관련 내용이 언급되었습니다."
kitchen,주방,basic,We discussed the kitchen during the morning meeting.,우리는 오전 회의에서 '주방' 관련 내용을 논의했습니다.
cafeteria,구내식당,basic,The staff prepared the cafeteria for today's schedule.,직원들은 오늘 일정에 맞춰 '구내식당' 관련 내용을 준비했습니다.
menu,메뉴,basic,The manager reviewed the menu before the meeting.,관리자는 회의 전에 '메뉴' 관련 내용을 검토했습니다.
meal,식사,basic,Please check the meal before you leave the office.,사무실을 떠나기 전에 '식사' 관련 내용을 확인해 주세요.
breakfast,아침 식사,basic,The breakfast was mentioned in the company announcement.,회사 공지에서 '아침 식사' 관련 내용이 언급되었습니다.
lunch,점심 식사,basic,We discussed the lunch during the morning meeting.,우리는 오전 회의에서 '점심 식사' 관련 내용을 논의했습니다.
dinner,저녁 식사,basic,The staff prepared the dinner for today's schedule.,직원들은 오늘 일정에 맞춰 '저녁 식사' 관련 내용을 준비했습니다.
food,음식,basic,The manager reviewed the food before the meeting.,관리자는 회의 전에 '음식' 관련 내용을 검토했습니다.
drink,음료,basic,Please check the drink before you leave the office.,사무실을 떠나기 전에 '음료' 관련 내용을 확인해 주세요.
coffee,커피,basic,The coffee was mentioned in the company announcement.,회사 공지에서 '커피' 관련 내용이 언급되었습니다.
water,물,basic,We discussed the water during the morning meeting.,우리는 오전 회의에서 '물' 관련 내용을 논의했습니다.
table,탁자,basic,The staff prepared the table for today's schedule.,직원들은 오늘 일정에 맞춰 '탁자' 관련 내용을 준비했습니다.
seat,좌석,basic,The manager reviewed the seat before the meeting.,관리자는 회의 전에 '좌석' 관련 내용을 검토했습니다.
appointment,"약속, 예약",basic,Please check the appointment before you leave the office.,"사무실을 떠나기 전에 '약속, 예약' 관련 내용을 확인해 주세요."
deadline,마감일,basic,The deadline was mentioned in the company announcement.,회사 공지에서 '마감일' 관련 내용이 언급되었습니다.
delay,지연,basic,We discussed the delay during the morning meeting.,우리는 오전 회의에서 '지연' 관련 내용을 논의했습니다.
problem report,문제 보고서,basic,The staff prepared the problem report for today's schedule.,직원들은 오늘 일정에 맞춰 '문제 보고서' 관련 내용을 준비했습니다.
maintenance,유지보수,basic,The manager reviewed the maintenance before the meeting.,관리자는 회의 전에 '유지보수' 관련 내용을 검토했습니다.
repair,수리,basic,Please check the repair before you leave the office.,사무실을 떠나기 전에 '수리' 관련 내용을 확인해 주세요.
inspection,"점검, 검사",basic,The inspection was mentioned in the company announcement.,"회사 공지에서 '점검, 검사' 관련 내용이 언급되었습니다."
safety,안전,basic,We discussed the safety during the morning meeting.,우리는 오전 회의에서 '안전' 관련 내용을 논의했습니다.
security,"보안, 안전",basic,The staff prepared the security for today's schedule.,"직원들은 오늘 일정에 맞춰 '보안, 안전' 관련 내용을 준비했습니다."
emergency,비상사태,basic,The manager reviewed the emergency before the meeting.,관리자는 회의 전에 '비상사태' 관련 내용을 검토했습니다.
accident,사고,basic,Please check the accident before you leave the office.,사무실을 떠나기 전에 '사고' 관련 내용을 확인해 주세요.
insurance,보험,basic,The insurance was mentioned in the company announcement.,회사 공지에서 '보험' 관련 내용이 언급되었습니다.
health,건강,basic,We discussed the health during the morning meeting.,우리는 오전 회의에서 '건강' 관련 내용을 논의했습니다.
hospital,병원,basic,The staff prepared the hospital for today's schedule.,직원들은 오늘 일정에 맞춰 '병원' 관련 내용을 준비했습니다.
medicine,약,basic,The manager reviewed the medicine before the meeting.,관리자는 회의 전에 '약' 관련 내용을 검토했습니다.
exercise,운동,basic,Please check the exercise before you leave the office.,사무실을 떠나기 전에 '운동' 관련 내용을 확인해 주세요.
weather,날씨,basic,The weather was mentioned in the company announcement.,회사 공지에서 '날씨' 관련 내용이 언급되었습니다.
rain,비,basic,We discussed the rain during the morning meeting.,우리는 오전 회의에서 '비' 관련 내용을 논의했습니다.
snow,눈,basic,The staff prepared the snow for today's schedule.,직원들은 오늘 일정에 맞춰 '눈' 관련 내용을 준비했습니다.
temperature,온도,basic,The manager reviewed the temperature before the meeting.,관리자는 회의 전에 '온도' 관련 내용을 검토했습니다.
season,계절,basic,Please check the season before you leave the office.,사무실을 떠나기 전에 '계절' 관련 내용을 확인해 주세요.
morning,아침,basic,The morning was mentioned in the company announcement.,회사 공지에서 '아침' 관련 내용이 언급되었습니다.
afternoon,오후,basic,We discussed the afternoon during the morning meeting.,우리는 오전 회의에서 '오후' 관련 내용을 논의했습니다.
evening,저녁,basic,The staff prepared the evening for today's schedule.,직원들은 오늘 일정에 맞춰 '저녁' 관련 내용을 준비했습니다.
week,주,basic,The manager reviewed the week before the meeting.,관리자는 회의 전에 '주' 관련 내용을 검토했습니다.
month,"달, 월",basic,Please check the month before you leave the office.,"사무실을 떠나기 전에 '달, 월' 관련 내용을 확인해 주세요."
year,년,basic,The year was mentioned in the company announcement.,회사 공지에서 '년' 관련 내용이 언급되었습니다.
Monday,월요일,basic,We discussed the Monday during the morning meeting.,우리는 오전 회의에서 '월요일' 관련 내용을 논의했습니다.
Tuesday,화요일,basic,The staff prepared the Tuesday for today's schedule.,직원들은 오늘 일정에 맞춰 '화요일' 관련 내용을 준비했습니다.
Wednesday,수요일,basic,The manager reviewed the Wednesday before the meeting.,관리자는 회의 전에 '수요일' 관련 내용을 검토했습니다.
Thursday,목요일,basic,Please check the Thursday before you leave the office.,사무실을 떠나기 전에 '목요일' 관련 내용을 확인해 주세요.
Friday,금요일,basic,The Friday was mentioned in the company announcement.,회사 공지에서 '금요일' 관련 내용이 언급되었습니다.
Saturday,토요일,basic,We discussed the Saturday during the morning meeting.,우리는 오전 회의에서 '토요일' 관련 내용을 논의했습니다.
Sunday,일요일,basic,The staff prepared the Sunday for today's schedule.,직원들은 오늘 일정에 맞춰 '일요일' 관련 내용을 준비했습니다.
January,1월,basic,The manager reviewed the January before the meeting.,관리자는 회의 전에 '1월' 관련 내용을 검토했습니다.
February,2월,basic,Please check the February before you leave the office.,사무실을 떠나기 전에 '2월' 관련 내용을 확인해 주세요.
March,3월,basic,The March was mentioned in the company announcement.,회사 공지에서 '3월' 관련 내용이 언급되었습니다.
April,4월,basic,We discussed the April during the morning meeting.,우리는 오전 회의에서 '4월' 관련 내용을 논의했습니다.
May,5월,basic,The staff prepared the May for today's schedule.,직원들은 오늘 일정에 맞춰 '5월' 관련 내용을 준비했습니다.
June,6월,basic,The manager reviewed the June before the meeting.,관리자는 회의 전에 '6월' 관련 내용을 검토했습니다.
July,7월,basic,Please check the July before you leave the office.,사무실을 떠나기 전에 '7월' 관련 내용을 확인해 주세요.
August,8월,basic,The August was mentioned in the company announcement.,회사 공지에서 '8월' 관련 내용이 언급되었습니다.
September,9월,basic,We discussed the September during the morning meeting.,우리는 오전 회의에서 '9월' 관련 내용을 논의했습니다.
October,10월,basic,The staff prepared the October for today's schedule.,직원들은 오늘 일정에 맞춰 '10월' 관련 내용을 준비했습니다.
November,11월,basic,The manager reviewed the November before the meeting.,관리자는 회의 전에 '11월' 관련 내용을 검토했습니다.
December,12월,basic,Please check the December before you leave the office.,사무실을 떠나기 전에 '12월' 관련 내용을 확인해 주세요.
hire,고용하다,basic,The manager asked us to hire today.,관리자는 우리에게 오늘 '고용하다' 하라고 요청했습니다.
manage,관리하다,basic,We need to manage before the deadline.,우리는 마감일 전에 '관리하다' 해야 합니다.
help,돕다,basic,Staff members can help when necessary.,직원들은 필요할 때 '돕다' 할 수 있습니다.
support,지원하다,basic,Please support before the scheduled meeting.,예정된 회의 전에 '지원하다' 해 주세요.
assist,"돕다, 보조하다",basic,Employees should assist as soon as possible.,"직원들은 가능한 한 빨리 '돕다, 보조하다' 해야 합니다."
learn,배우다,basic,The manager asked us to learn today.,관리자는 우리에게 오늘 '배우다' 하라고 요청했습니다.
study,공부하다,basic,We need to study before the deadline.,우리는 마감일 전에 '공부하다' 해야 합니다.
teach,가르치다,basic,Staff members can teach when necessary.,직원들은 필요할 때 '가르치다' 할 수 있습니다.
apply,"지원하다, 신청하다",basic,Please apply before the scheduled meeting.,"예정된 회의 전에 '지원하다, 신청하다' 해 주세요."
start,시작하다,basic,Employees should start as soon as possible.,직원들은 가능한 한 빨리 '시작하다' 해야 합니다.
begin,시작하다,basic,The manager asked us to begin today.,관리자는 우리에게 오늘 '시작하다' 하라고 요청했습니다.
finish,끝내다,basic,We need to finish before the deadline.,우리는 마감일 전에 '끝내다' 해야 합니다.
complete,완료하다,basic,Staff members can complete when necessary.,직원들은 필요할 때 '완료하다' 할 수 있습니다.
continue,계속하다,basic,Please continue before the scheduled meeting.,예정된 회의 전에 '계속하다' 해 주세요.
stop,멈추다,basic,Employees should stop as soon as possible.,직원들은 가능한 한 빨리 '멈추다' 해야 합니다.
open,열다,basic,The manager asked us to open today.,관리자는 우리에게 오늘 '열다' 하라고 요청했습니다.
close,닫다,basic,We need to close before the deadline.,우리는 마감일 전에 '닫다' 해야 합니다.
send,보내다,basic,Staff members can send when necessary.,직원들은 필요할 때 '보내다' 할 수 있습니다.
receive,받다,basic,Please receive before the scheduled meeting.,예정된 회의 전에 '받다' 해 주세요.
ask,"묻다, 요청하다",basic,Employees should ask as soon as possible.,"직원들은 가능한 한 빨리 '묻다, 요청하다' 해야 합니다."
reply,답장하다,basic,The manager asked us to reply today.,관리자는 우리에게 오늘 '답장하다' 하라고 요청했습니다.
write,쓰다,basic,We need to write before the deadline.,우리는 마감일 전에 '쓰다' 해야 합니다.
read,읽다,basic,Staff members can read when necessary.,직원들은 필요할 때 '읽다' 할 수 있습니다.
check,확인하다,basic,Please check before the scheduled meeting.,예정된 회의 전에 '확인하다' 해 주세요.
review,검토하다,basic,Employees should review as soon as possible.,직원들은 가능한 한 빨리 '검토하다' 해야 합니다.
confirm,확인하다,basic,The manager asked us to confirm today.,관리자는 우리에게 오늘 '확인하다' 하라고 요청했습니다.
explain,설명하다,basic,We need to explain before the deadline.,우리는 마감일 전에 '설명하다' 해야 합니다.
discuss,논의하다,basic,Staff members can discuss when necessary.,직원들은 필요할 때 '논의하다' 할 수 있습니다.
meet,만나다,basic,Please meet before the scheduled meeting.,예정된 회의 전에 '만나다' 해 주세요.
attend,참석하다,basic,Employees should attend as soon as possible.,직원들은 가능한 한 빨리 '참석하다' 해야 합니다.
visit,방문하다,basic,The manager asked us to visit today.,관리자는 우리에게 오늘 '방문하다' 하라고 요청했습니다.
arrive,도착하다,basic,We need to arrive before the deadline.,우리는 마감일 전에 '도착하다' 해야 합니다.
leave,떠나다,basic,Staff members can leave when necessary.,직원들은 필요할 때 '떠나다' 할 수 있습니다.
return,"돌아오다, 반환하다",basic,Please return before the scheduled meeting.,"예정된 회의 전에 '돌아오다, 반환하다' 해 주세요."
reserve,예약하다,basic,Employees should reserve as soon as possible.,직원들은 가능한 한 빨리 '예약하다' 해야 합니다.
cancel,취소하다,basic,The manager asked us to cancel today.,관리자는 우리에게 오늘 '취소하다' 하라고 요청했습니다.
move,이동하다,basic,We need to move before the deadline.,우리는 마감일 전에 '이동하다' 해야 합니다.
drive,운전하다,basic,Staff members can drive when necessary.,직원들은 필요할 때 '운전하다' 할 수 있습니다.
park,주차하다,basic,Please park before the scheduled meeting.,예정된 회의 전에 '주차하다' 해 주세요.
deliver,배달하다,basic,Employees should deliver as soon as possible.,직원들은 가능한 한 빨리 '배달하다' 해야 합니다.
ship,배송하다,basic,The manager asked us to ship today.,관리자는 우리에게 오늘 '배송하다' 하라고 요청했습니다.
pack,포장하다,basic,We need to pack before the deadline.,우리는 마감일 전에 '포장하다' 해야 합니다.
carry,운반하다,basic,Staff members can carry when necessary.,직원들은 필요할 때 '운반하다' 할 수 있습니다.
bring,가져오다,basic,Please bring before the scheduled meeting.,예정된 회의 전에 '가져오다' 해 주세요.
take,"가져가다, 취하다",basic,Employees should take as soon as possible.,"직원들은 가능한 한 빨리 '가져가다, 취하다' 해야 합니다."
buy,구매하다,basic,The manager asked us to buy today.,관리자는 우리에게 오늘 '구매하다' 하라고 요청했습니다.
sell,판매하다,basic,We need to sell before the deadline.,우리는 마감일 전에 '판매하다' 해야 합니다.
pay,지불하다,basic,Staff members can pay when necessary.,직원들은 필요할 때 '지불하다' 할 수 있습니다.
save,"절약하다, 저장하다",basic,Please save before the scheduled meeting.,"예정된 회의 전에 '절약하다, 저장하다' 해 주세요."
spend,"쓰다, 소비하다",basic,Employees should spend as soon as possible.,"직원들은 가능한 한 빨리 '쓰다, 소비하다' 해야 합니다."
borrow,빌리다,basic,The manager asked us to borrow today.,관리자는 우리에게 오늘 '빌리다' 하라고 요청했습니다.
lend,빌려주다,basic,We need to lend before the deadline.,우리는 마감일 전에 '빌려주다' 해야 합니다.
offer,"제공하다, 제안하다",basic,Staff members can offer when necessary.,"직원들은 필요할 때 '제공하다, 제안하다' 할 수 있습니다."
provide,제공하다,basic,Please provide before the scheduled meeting.,예정된 회의 전에 '제공하다' 해 주세요.
give,주다,basic,Employees should give as soon as possible.,직원들은 가능한 한 빨리 '주다' 해야 합니다.
use,사용하다,basic,The manager asked us to use today.,관리자는 우리에게 오늘 '사용하다' 하라고 요청했습니다.
need,필요로 하다,basic,We need to need before the deadline.,우리는 마감일 전에 '필요로 하다' 해야 합니다.
want,원하다,basic,Staff members can want when necessary.,직원들은 필요할 때 '원하다' 할 수 있습니다.
require,요구하다,basic,Please require before the scheduled meeting.,예정된 회의 전에 '요구하다' 해 주세요.
choose,선택하다,basic,Employees should choose as soon as possible.,직원들은 가능한 한 빨리 '선택하다' 해야 합니다.
select,선택하다,basic,The manager asked us to select today.,관리자는 우리에게 오늘 '선택하다' 하라고 요청했습니다.
decide,결정하다,basic,We need to decide before the deadline.,우리는 마감일 전에 '결정하다' 해야 합니다.
prepare,준비하다,basic,Staff members can prepare when necessary.,직원들은 필요할 때 '준비하다' 할 수 있습니다.
organize,"정리하다, 조직하다",basic,Please organize before the scheduled meeting.,"예정된 회의 전에 '정리하다, 조직하다' 해 주세요."
arrange,"준비하다, 마련하다",basic,Employees should arrange as soon as possible.,"직원들은 가능한 한 빨리 '준비하다, 마련하다' 해야 합니다."
invite,초대하다,basic,The manager asked us to invite today.,관리자는 우리에게 오늘 '초대하다' 하라고 요청했습니다.
join,참여하다,basic,We need to join before the deadline.,우리는 마감일 전에 '참여하다' 해야 합니다.
participate,참여하다,basic,Staff members can participate when necessary.,직원들은 필요할 때 '참여하다' 할 수 있습니다.
present,"발표하다, 제시하다",basic,Please present before the scheduled meeting.,"예정된 회의 전에 '발표하다, 제시하다' 해 주세요."
show,보여주다,basic,Employees should show as soon as possible.,직원들은 가능한 한 빨리 '보여주다' 해야 합니다.
display,"전시하다, 표시하다",basic,The manager asked us to display today.,"관리자는 우리에게 오늘 '전시하다, 표시하다' 하라고 요청했습니다."
introduce,소개하다,basic,We need to introduce before the deadline.,우리는 마감일 전에 '소개하다' 해야 합니다.
announce,발표하다,basic,Staff members can announce when necessary.,직원들은 필요할 때 '발표하다' 할 수 있습니다.
advertise,광고하다,basic,Please advertise before the scheduled meeting.,예정된 회의 전에 '광고하다' 해 주세요.
promote,"홍보하다, 승진시키다",basic,Employees should promote as soon as possible.,"직원들은 가능한 한 빨리 '홍보하다, 승진시키다' 해야 합니다."
recommend,추천하다,basic,The manager asked us to recommend today.,관리자는 우리에게 오늘 '추천하다' 하라고 요청했습니다.
suggest,제안하다,basic,We need to suggest before the deadline.,우리는 마감일 전에 '제안하다' 해야 합니다.
agree,동의하다,basic,Staff members can agree when necessary.,직원들은 필요할 때 '동의하다' 할 수 있습니다.
accept,받아들이다,basic,Please accept before the scheduled meeting.,예정된 회의 전에 '받아들이다' 해 주세요.
refuse,거절하다,basic,Employees should refuse as soon as possible.,직원들은 가능한 한 빨리 '거절하다' 해야 합니다.
approve,승인하다,basic,The manager asked us to approve today.,관리자는 우리에게 오늘 '승인하다' 하라고 요청했습니다.
sign,서명하다,basic,We need to sign before the deadline.,우리는 마감일 전에 '서명하다' 해야 합니다.
submit,제출하다,basic,Staff members can submit when necessary.,직원들은 필요할 때 '제출하다' 할 수 있습니다.
update,업데이트하다,basic,Please update before the scheduled meeting.,예정된 회의 전에 '업데이트하다' 해 주세요.
add,추가하다,basic,Employees should add as soon as possible.,직원들은 가능한 한 빨리 '추가하다' 해야 합니다.
remove,제거하다,basic,The manager asked us to remove today.,관리자는 우리에게 오늘 '제거하다' 하라고 요청했습니다.
replace,교체하다,basic,We need to replace before the deadline.,우리는 마감일 전에 '교체하다' 해야 합니다.
fix,"수리하다, 고치다",basic,Staff members can fix when necessary.,"직원들은 필요할 때 '수리하다, 고치다' 할 수 있습니다."
maintain,유지하다,basic,Please maintain before the scheduled meeting.,예정된 회의 전에 '유지하다' 해 주세요.
inspect,점검하다,basic,Employees should inspect as soon as possible.,직원들은 가능한 한 빨리 '점검하다' 해야 합니다.
clean,청소하다,basic,The manager asked us to clean today.,관리자는 우리에게 오늘 '청소하다' 하라고 요청했습니다.
install,설치하다,basic,We need to install before the deadline.,우리는 마감일 전에 '설치하다' 해야 합니다.
operate,"작동하다, 운영하다",basic,Staff members can operate when necessary.,"직원들은 필요할 때 '작동하다, 운영하다' 할 수 있습니다."
produce,생산하다,basic,Please produce before the scheduled meeting.,예정된 회의 전에 '생산하다' 해 주세요.
make,만들다,basic,Employees should make as soon as possible.,직원들은 가능한 한 빨리 '만들다' 해야 합니다.
build,"건설하다, 만들다",basic,The manager asked us to build today.,"관리자는 우리에게 오늘 '건설하다, 만들다' 하라고 요청했습니다."
develop,개발하다,basic,We need to develop before the deadline.,우리는 마감일 전에 '개발하다' 해야 합니다.
improve,개선하다,basic,Staff members can improve when necessary.,직원들은 필요할 때 '개선하다' 할 수 있습니다.
reduce,줄이다,basic,Please reduce before the scheduled meeting.,예정된 회의 전에 '줄이다' 해 주세요.
grow,성장하다,basic,Employees should grow as soon as possible.,직원들은 가능한 한 빨리 '성장하다' 해야 합니다.
expand,확장하다,basic,The manager asked us to expand today.,관리자는 우리에게 오늘 '확장하다' 하라고 요청했습니다.
compare,비교하다,basic,We need to compare before the deadline.,우리는 마감일 전에 '비교하다' 해야 합니다.
measure,측정하다,basic,Staff members can measure when necessary.,직원들은 필요할 때 '측정하다' 할 수 있습니다.
count,세다,basic,Please count before the scheduled meeting.,예정된 회의 전에 '세다' 해 주세요.
include,포함하다,basic,Employees should include as soon as possible.,직원들은 가능한 한 빨리 '포함하다' 해야 합니다.
contain,포함하다,basic,The manager asked us to contain today.,관리자는 우리에게 오늘 '포함하다' 하라고 요청했습니다.
find,찾다,basic,We need to find before the deadline.,우리는 마감일 전에 '찾다' 해야 합니다.
look,보다,basic,Staff members can look when necessary.,직원들은 필요할 때 '보다' 할 수 있습니다.
search,"찾다, 검색하다",basic,Please search before the scheduled meeting.,"예정된 회의 전에 '찾다, 검색하다' 해 주세요."
wait,기다리다,basic,Employees should wait as soon as possible.,직원들은 가능한 한 빨리 '기다리다' 해야 합니다.
stay,머무르다,basic,The manager asked us to stay today.,관리자는 우리에게 오늘 '머무르다' 하라고 요청했습니다.
live,살다,basic,We need to live before the deadline.,우리는 마감일 전에 '살다' 해야 합니다.
eat,먹다,basic,Staff members can eat when necessary.,직원들은 필요할 때 '먹다' 할 수 있습니다.
cook,요리하다,basic,Please cook before the scheduled meeting.,예정된 회의 전에 '요리하다' 해 주세요.
serve,"제공하다, 응대하다",basic,Employees should serve as soon as possible.,"직원들은 가능한 한 빨리 '제공하다, 응대하다' 해야 합니다."
wear,입다,basic,The manager asked us to wear today.,관리자는 우리에게 오늘 '입다' 하라고 요청했습니다.
wash,씻다,basic,We need to wash before the deadline.,우리는 마감일 전에 '씻다' 해야 합니다.
rest,쉬다,basic,Staff members can rest when necessary.,직원들은 필요할 때 '쉬다' 할 수 있습니다.
enjoy,즐기다,basic,Please enjoy before the scheduled meeting.,예정된 회의 전에 '즐기다' 해 주세요.
prefer,선호하다,basic,Employees should prefer as soon as possible.,직원들은 가능한 한 빨리 '선호하다' 해야 합니다.
remember,기억하다,basic,The manager asked us to remember today.,관리자는 우리에게 오늘 '기억하다' 하라고 요청했습니다.
forget,잊다,basic,We need to forget before the deadline.,우리는 마감일 전에 '잊다' 해야 합니다.
understand,이해하다,basic,Staff members can understand when necessary.,직원들은 필요할 때 '이해하다' 할 수 있습니다.
know,알다,basic,Please know before the scheduled meeting.,예정된 회의 전에 '알다' 해 주세요.
think,생각하다,basic,Employees should think as soon as possible.,직원들은 가능한 한 빨리 '생각하다' 해야 합니다.
believe,믿다,basic,The manager asked us to believe today.,관리자는 우리에게 오늘 '믿다' 하라고 요청했습니다.
expect,기대하다,basic,We need to expect before the deadline.,우리는 마감일 전에 '기대하다' 해야 합니다.
hope,바라다,basic,Staff members can hope when necessary.,직원들은 필요할 때 '바라다' 할 수 있습니다.
allow,허용하다,basic,Please allow before the scheduled meeting.,예정된 회의 전에 '허용하다' 해 주세요.
permit,허용하다,basic,Employees should permit as soon as possible.,직원들은 가능한 한 빨리 '허용하다' 해야 합니다.
follow,따르다,basic,The manager asked us to follow today.,관리자는 우리에게 오늘 '따르다' 하라고 요청했습니다.
protect,보호하다,basic,We need to protect before the deadline.,우리는 마감일 전에 '보호하다' 해야 합니다.
prevent,예방하다,basic,Staff members can prevent when necessary.,직원들은 필요할 때 '예방하다' 할 수 있습니다.
avoid,피하다,basic,Please avoid before the scheduled meeting.,예정된 회의 전에 '피하다' 해 주세요.
solve,해결하다,basic,Employees should solve as soon as possible.,직원들은 가능한 한 빨리 '해결하다' 해야 합니다.
handle,처리하다,basic,The manager asked us to handle today.,관리자는 우리에게 오늘 '처리하다' 하라고 요청했습니다.
care,돌보다,basic,We need to care before the deadline.,우리는 마감일 전에 '돌보다' 해야 합니다.
available,이용 가능한,basic,We need a available plan for the project.,우리는 프로젝트를 위해 '이용 가능한' 계획이 필요합니다.
busy,바쁜,basic,The manager said the new procedure was busy.,관리자는 새 절차가 '바쁜' 상태라고 말했습니다.
free,"무료의, 한가한",basic,The office is free for all employees.,"그 사무실은 모든 직원에게 '무료의, 한가한' 상태입니다."
closed,닫힌,basic,The customer found the service closed.,고객은 그 서비스가 '닫힌'다고 느꼈습니다.
new,새로운,basic,The report contains a new explanation.,그 보고서에는 '새로운' 설명이 포함되어 있습니다.
old,"오래된, 낡은",basic,We need a old plan for the project.,"우리는 프로젝트를 위해 '오래된, 낡은' 계획이 필요합니다."
young,젊은,basic,The manager said the new procedure was young.,관리자는 새 절차가 '젊은' 상태라고 말했습니다.
large,큰,basic,The office is large for all employees.,그 사무실은 모든 직원에게 '큰' 상태입니다.
small,작은,basic,The customer found the service small.,고객은 그 서비스가 '작은'다고 느꼈습니다.
big,큰,basic,The report contains a big explanation.,그 보고서에는 '큰' 설명이 포함되어 있습니다.
little,작은,basic,We need a little plan for the project.,우리는 프로젝트를 위해 '작은' 계획이 필요합니다.
long,긴,basic,The manager said the new procedure was long.,관리자는 새 절차가 '긴' 상태라고 말했습니다.
short,짧은,basic,The office is short for all employees.,그 사무실은 모든 직원에게 '짧은' 상태입니다.
high,높은,basic,The customer found the service high.,고객은 그 서비스가 '높은'다고 느꼈습니다.
low,낮은,basic,The report contains a low explanation.,그 보고서에는 '낮은' 설명이 포함되어 있습니다.
early,이른,basic,We need a early plan for the project.,우리는 프로젝트를 위해 '이른' 계획이 필요합니다.
late,늦은,basic,The manager said the new procedure was late.,관리자는 새 절차가 '늦은' 상태라고 말했습니다.
fast,빠른,basic,The office is fast for all employees.,그 사무실은 모든 직원에게 '빠른' 상태입니다.
slow,느린,basic,The customer found the service slow.,고객은 그 서비스가 '느린'다고 느꼈습니다.
easy,쉬운,basic,The report contains a easy explanation.,그 보고서에는 '쉬운' 설명이 포함되어 있습니다.
difficult,어려운,basic,We need a difficult plan for the project.,우리는 프로젝트를 위해 '어려운' 계획이 필요합니다.
simple,간단한,basic,The manager said the new procedure was simple.,관리자는 새 절차가 '간단한' 상태라고 말했습니다.
important,중요한,basic,The office is important for all employees.,그 사무실은 모든 직원에게 '중요한' 상태입니다.
necessary,필요한,basic,The customer found the service necessary.,고객은 그 서비스가 '필요한'다고 느꼈습니다.
possible,가능한,basic,The report contains a possible explanation.,그 보고서에는 '가능한' 설명이 포함되어 있습니다.
ready,준비된,basic,We need a ready plan for the project.,우리는 프로젝트를 위해 '준비된' 계획이 필요합니다.
safe,안전한,basic,The manager said the new procedure was safe.,관리자는 새 절차가 '안전한' 상태라고 말했습니다.
careful,조심하는,basic,The office is careful for all employees.,그 사무실은 모든 직원에게 '조심하는' 상태입니다.
dirty,더러운,basic,The customer found the service dirty.,고객은 그 서비스가 '더러운'다고 느꼈습니다.
full,가득 찬,basic,The report contains a full explanation.,그 보고서에는 '가득 찬' 설명이 포함되어 있습니다.
empty,빈,basic,We need a empty plan for the project.,우리는 프로젝트를 위해 '빈' 계획이 필요합니다.
cheap,저렴한,basic,The manager said the new procedure was cheap.,관리자는 새 절차가 '저렴한' 상태라고 말했습니다.
expensive,비싼,basic,The office is expensive for all employees.,그 사무실은 모든 직원에게 '비싼' 상태입니다.
popular,인기 있는,basic,The customer found the service popular.,고객은 그 서비스가 '인기 있는'다고 느꼈습니다.
special,특별한,basic,The report contains a special explanation.,그 보고서에는 '특별한' 설명이 포함되어 있습니다.
